algoritmo,size_mb,num_objects,avg_time_seconds,std_dev_seconds,throughput_mb_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
SHA256,1,31,0.000586,0.000005,1706.35,0.000336,0.000020,0.000105,0.000074
SHA256,10,31,0.005875,0.000088,1702.09,0.003709,0.000160,0.001104,0.000409
SHA256,50,31,0.029237,0.000164,1710.15,0.019140,0.000289,0.009764,0.000164
SHA256,100,31,0.058390,0.000140,1712.62,0.038550,0.000523,0.018594,0.000331
SHA3_256,1,31,0.002164,0.000018,462.11,0.000341,0.000028,0.000114,0.000119
SHA3_256,10,31,0.021564,0.000079,463.73,0.003770,0.000144,0.001013,0.000234
SHA3_256,50,31,0.107898,0.000737,463.40,0.019263,0.000317,0.009741,0.000188
SHA3_256,100,31,0.216309,0.002446,462.30,0.038834,0.001221,0.018637,0.000370
BLAKE3,1,31,0.000233,0.000042,4292.47,0.000342,0.000033,0.000113,0.000124
BLAKE3,10,31,0.002231,0.000021,4483.12,0.003711,0.000144,0.001001,0.000221
BLAKE3,50,31,0.012055,0.000164,4147.78,0.019291,0.000353,0.009773,0.000167
BLAKE3,100,31,0.025080,0.001703,3987.32,0.038548,0.000583,0.018537,0.000391
HMAC_SHA256,1,31,0.000590,0.000006,1694.75,0.000339,0.000030,0.000110,0.000122
HMAC_SHA256,10,31,0.005874,0.000079,1702.30,0.003735,0.000161,0.001018,0.000234
HMAC_SHA256,50,31,0.029237,0.000162,1710.16,0.019193,0.000279,0.009764,0.000170
HMAC_SHA256,100,31,0.058444,0.000154,1711.04,0.038495,0.000638,0.018640,0.000386
